horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
50.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,67.0, Ninguno, Soltero(a), No,4.0,,,6,30.0
, Urbana,Cuenca,,9.0,,,Persona 2, Hombre,41.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,21.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,12.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,35.0, Ninguno, Casado(a), No,6.0,,,2,1.0
40.0, Urbana,Cuenca,,2.0,,,Persona 2, Mujer,36.0, Ninguno, Casado(a), No,4.0,,,10,8.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,16.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,13.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,77.0, Ninguno, Soltero(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,81.0, Ninguno, Soltero(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,53.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,56.0, Ninguno, Casado(a), No,4.0,,,2,30.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,28.0, Ninguno, Casado(a), No,,,,2,3.0
, Urbana,Cuenca,,9.0,,,Persona 4, Mujer,20.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,13.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 6, Mujer,24.0, Ninguno, Casado(a), No,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 7, Mujer,2.0, Ninguno,,,,,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,27.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,26.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
48.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,32.0, Ninguno, Soltero(a), No,9.0,,,2,0.0
48.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,31.0, Ninguno, Casado(a), No,6.0,,,2,10.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,31.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 5, Mujer,61.0, Ninguno, Soltero(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,86.0, Ninguno, Viudo(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,51.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,16.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,46.0, Ninguno, Casado(a), No,6.0,,,1,20.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,49.0, Ninguno, Casado(a), No,10.0,,,2,20.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,24.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 4, Mujer,22.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 5, Hombre,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
45.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,38.0, Ninguno, Separado(a), No,6.0,,,2,12.0
, Urbana,Cuenca,,9.0,,,Persona 2, Hombre,20.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,46.0, Ninguno, Soltero(a), No,6.0,,,2,12.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,40.0, Ninguno, Soltero(a), No,6.0,,,2,8.0
45.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,43.0, Ninguno, Unión libre, No,6.0,,,2,20.0
50.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,37.0, Ninguno, Unión libre, No,6.0,,,2,15.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,17.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,9.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
25.0, Urbana,Cuenca,,2.0,,,Persona 6, Hombre,20.0, Ninguno, Soltero(a), No,,,,6,1.0
45.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,31.0, Ninguno, Unión libre, No,6.0,,,2,2.0
50.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,28.0, Ninguno, Unión libre, No,,,,2,3.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,3.0, Ninguno,,,,,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,57.0, Ninguno, Casado(a), No,9.0,,,1,15.0
60.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,57.0, Ninguno, Casado(a), No,9.0,,,2,4.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,26.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,7.0,,1.0,Persona 4, Hombre,24.0, Ninguno, Soltero(a), No,9.0, Buscar por Internet, Despido intempestivo,2,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,78.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,79.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
